"filename", "language", "Markdown", "JSON", "JavaScript", "YAML", "comment", "blank", "total"
"d:\Mycodes\Gitrepos\javascript-algorithms\.github\FUNDING.yml", "YAML", 0, 0, 0, 2, 1, 1, 4
"d:\Mycodes\Gitrepos\javascript-algorithms\.github\workflows\CI.yml", "YAML", 0, 0, 0, 27, 0, 9, 36
"d:\Mycodes\Gitrepos\javascript-algorithms\BACKERS.md", "Markdown", 8, 0, 0, 0, 31, 10, 49
"d:\Mycodes\Gitrepos\javascript-algorithms\CODE_OF_CONDUCT.md", "Markdown", 25, 0, 0, 0, 0, 16, 41
"d:\Mycodes\Gitrepos\javascript-algorithms\CONTRIBUTING.md", "Markdown", 19, 0, 0, 0, 0, 7, 26
"d:\Mycodes\Gitrepos\javascript-algorithms\README.ar-AR.md", "Markdown", 274, 0, 0, 0, 0, 52, 326
"d:\Mycodes\Gitrepos\javascript-algorithms\README.de-DE.md", "Markdown", 285, 0, 0, 0, 0, 52, 337
"d:\Mycodes\Gitrepos\javascript-algorithms\README.es-ES.md", "Markdown", 259, 0, 0, 0, 0, 45, 304
"d:\Mycodes\Gitrepos\javascript-algorithms\README.fr-FR.md", "Markdown", 256, 0, 0, 0, 0, 45, 301
"d:\Mycodes\Gitrepos\javascript-algorithms\README.he-IL.md", "Markdown", 296, 0, 0, 0, 0, 73, 369
"d:\Mycodes\Gitrepos\javascript-algorithms\README.id-ID.md", "Markdown", 262, 0, 0, 0, 0, 48, 310
"d:\Mycodes\Gitrepos\javascript-algorithms\README.it-IT.md", "Markdown", 261, 0, 0, 0, 0, 42, 303
"d:\Mycodes\Gitrepos\javascript-algorithms\README.ja-JP.md", "Markdown", 262, 0, 0, 0, 0, 42, 304
"d:\Mycodes\Gitrepos\javascript-algorithms\README.ko-KR.md", "Markdown", 242, 0, 0, 0, 0, 43, 285
"d:\Mycodes\Gitrepos\javascript-algorithms\README.md", "Markdown", 320, 0, 0, 0, 0, 57, 377
"d:\Mycodes\Gitrepos\javascript-algorithms\README.pl-PL.md", "Markdown", 255, 0, 0, 0, 0, 42, 297
"d:\Mycodes\Gitrepos\javascript-algorithms\README.pt-BR.md", "Markdown", 261, 0, 0, 0, 0, 44, 305
"d:\Mycodes\Gitrepos\javascript-algorithms\README.ru-RU.md", "Markdown", 277, 0, 0, 0, 0, 44, 321
"d:\Mycodes\Gitrepos\javascript-algorithms\README.tr-TR.md", "Markdown", 277, 0, 0, 0, 0, 46, 323
"d:\Mycodes\Gitrepos\javascript-algorithms\README.uk-UA.md", "Markdown", 266, 0, 0, 0, 0, 45, 311
"d:\Mycodes\Gitrepos\javascript-algorithms\README.uz-UZ.md", "Markdown", 301, 0, 0, 0, 0, 56, 357
"d:\Mycodes\Gitrepos\javascript-algorithms\README.vi-VN.md", "Markdown", 283, 0, 0, 0, 0, 44, 327
"d:\Mycodes\Gitrepos\javascript-algorithms\README.zh-CN.md", "Markdown", 255, 0, 0, 0, 0, 43, 298
"d:\Mycodes\Gitrepos\javascript-algorithms\README.zh-TW.md", "Markdown", 194, 0, 0, 0, 0, 36, 230
"d:\Mycodes\Gitrepos\javascript-algorithms\jest.config.js", "JavaScript", 0, 0, 20, 0, 12, 9, 41
"d:\Mycodes\Gitrepos\javascript-algorithms\package-lock.json", "JSON", 0, 15788, 0, 0, 0, 1, 15789
"d:\Mycodes\Gitrepos\javascript-algorithms\package.json", "JSON", 0, 54, 0, 0, 0, 1, 55
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\README.md", "Markdown", 21, 0, 0, 0, 0, 13, 34
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\README.ru-RU.md", "Markdown", 19, 0, 0, 0, 0, 11, 30
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\__test__\caesarCipher.test.js", "JavaScript", 0, 0, 31, 0, 0, 10, 41
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\caesar-cipher\caesarCipher.js", "JavaScript", 0, 0, 29, 0, 26, 4, 59
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\hill-cipher\README.md", "Markdown", 65, 0, 0, 0, 0, 32, 97
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\hill-cipher\_test_\hillCipher.test.js", "JavaScript", 0, 0, 41, 0, 0, 6, 47
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\hill-cipher\hillCipher.js", "JavaScript", 0, 0, 50, 0, 28, 10, 88
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\PolynomialHash.js", "JavaScript", 0, 0, 43, 0, 33, 14, 90
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\README.md", "Markdown", 83, 0, 0, 0, 0, 34, 117
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\SimplePolynomialHash.js", "JavaScript", 0, 0, 22, 0, 34, 8, 64
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\PolynomialHash.test.js", "JavaScript", 0, 0, 42, 0, 7, 11, 60
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\polynomial-hash\__test__\SimplePolynomialHash.test.js", "JavaScript", 0, 0, 39, 0, 4, 10, 53
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\README.md", "Markdown", 20, 0, 0, 0, 0, 9, 29
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\__test__\railFenceCipher.test.js", "JavaScript", 0, 0, 39, 0, 0, 5, 44
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\cryptography\rail-fence-cipher\railFenceCipher.js", "JavaScript", 0, 0, 132, 0, 86, 25, 243
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\articulation-points\README.md", "Markdown", 15, 0, 0, 0, 0, 8, 23
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\articulation-points\__test__\articulationPoints.test.js", "JavaScript", 0, 0, 190, 0, 0, 43, 233
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\articulation-points\articulationPoints.js", "JavaScript", 0, 0, 56, 0, 44, 14, 114
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bellman-ford\README.md", "Markdown", 15, 0, 0, 0, 0, 7, 22
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bellman-ford\__test__\bellmanFord.test.js", "JavaScript", 0, 0, 105, 0, 0, 13, 118
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bellman-ford\bellmanFord.js", "JavaScript", 0, 0, 29, 0, 12, 5, 46
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\breadth-first-search\README.md", "Markdown", 12, 0, 0, 0, 0, 5, 17
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\breadth-first-search\__test__\breadthFirstSearch.test.js", "JavaScript", 0, 0, 146, 0, 3, 26, 175
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\breadth-first-search\breadthFirstSearch.js", "JavaScript", 0, 0, 38, 0, 24, 14, 76
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bridges\README.md", "Markdown", 16, 0, 0, 0, 0, 11, 27
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bridges\__test__\graphBridges.test.js", "JavaScript", 0, 0, 167, 0, 0, 37, 204
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\bridges\graphBridges.js", "JavaScript", 0, 0, 51, 0, 32, 13, 96
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\depth-first-search\README.md", "Markdown", 12, 0, 0, 0, 0, 5, 17
"d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\graph\depth-first-search\__test__\depthFirstSearch.test.js", "JavaScript", 0, 0, 138, 0, 2, 26, 166
