Date : 2025-11-16 11:22:34
Directory : d:\Mycodes\Gitrepos\javascript-algorithms
Total : 621 files,  47073 codes, 4544 comments, 9455 blanks, all 61072 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Markdown   |        258 |     15,955 |         31 |      5,345 |     21,331 |
| JSON       |          2 |     15,842 |          0 |          2 |     15,844 |
| JavaScript |        359 |     15,247 |      4,512 |      4,098 |     23,857 |
| YAML       |          2 |         29 |          1 |         10 |         40 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                        |        621 |     47,073 |      4,544 |      9,455 |     61,072 |
| . (Files)                                                                                                                                                |         25 |     21,000 |         43 |        943 |     21,986 |
| .github                                                                                                                                                  |          2 |         29 |          1 |         10 |         40 |
| .github (Files)                                                                                                                                          |          1 |          2 |          1 |          1 |          4 |
| .github\workflows                                                                                                                                        |          1 |         27 |          0 |          9 |         36 |
| src                                                                                                                                                      |        594 |     26,044 |      4,500 |      8,502 |     39,046 |
| src\algorithms                                                                                                                                           |        431 |     16,281 |      3,190 |      5,397 |     24,868 |
| src\algorithms\cryptography                                                                                                                              |         15 |        676 |        218 |        202 |      1,096 |
| src\algorithms\cryptography\caesar-cipher                                                                                                                |          4 |        100 |         26 |         38 |        164 |
| src\algorithms\cryptography\caesar-cipher (Files)                                                                                                        |          3 |         69 |         26 |         28 |        123 |
| src\algorithms\cryptography\caesar-cipher\__test__                                                                                                       |          1 |         31 |          0 |         10 |         41 |
| src\algorithms\cryptography\hill-cipher                                                                                                                  |          3 |        156 |         28 |         48 |        232 |
| src\algorithms\cryptography\hill-cipher (Files)                                                                                                          |          2 |        115 |         28 |         42 |        185 |
| src\algorithms\cryptography\hill-cipher\_test_                                                                                                           |          1 |         41 |          0 |          6 |         47 |
| src\algorithms\cryptography\polynomial-hash                                                                                                              |          5 |        229 |         78 |         77 |        384 |
| src\algorithms\cryptography\polynomial-hash (Files)                                                                                                      |          3 |        148 |         67 |         56 |        271 |
| src\algorithms\cryptography\polynomial-hash\__test__                                                                                                     |          2 |         81 |         11 |         21 |        113 |
| src\algorithms\cryptography\rail-fence-cipher                                                                                                            |          3 |        191 |         86 |         39 |        316 |
| src\algorithms\cryptography\rail-fence-cipher (Files)                                                                                                    |          2 |        152 |         86 |         34 |        272 |
| src\algorithms\cryptography\rail-fence-cipher\__test__                                                                                                   |          1 |         39 |          0 |          5 |         44 |
| src\algorithms\graph                                                                                                                                     |         59 |      3,740 |        483 |      1,290 |      5,513 |
| src\algorithms\graph\articulation-points                                                                                                                 |          3 |        261 |         44 |         65 |        370 |
| src\algorithms\graph\articulation-points (Files)                                                                                                         |          2 |         71 |         44 |         22 |        137 |
| src\algorithms\graph\articulation-points\__test__                                                                                                        |          1 |        190 |          0 |         43 |        233 |
| src\algorithms\graph\bellman-ford                                                                                                                        |          3 |        149 |         12 |         25 |        186 |
| src\algorithms\graph\bellman-ford (Files)                                                                                                                |          2 |         44 |         12 |         12 |         68 |
| src\algorithms\graph\bellman-ford\__test__                                                                                                               |          1 |        105 |          0 |         13 |        118 |
| src\algorithms\graph\breadth-first-search                                                                                                                |          3 |        196 |         27 |         45 |        268 |
| src\algorithms\graph\breadth-first-search (Files)                                                                                                        |          2 |         50 |         24 |         19 |         93 |
| src\algorithms\graph\breadth-first-search\__test__                                                                                                       |          1 |        146 |          3 |         26 |        175 |
| src\algorithms\graph\bridges                                                                                                                             |          3 |        234 |         32 |         61 |        327 |
| src\algorithms\graph\bridges (Files)                                                                                                                     |          2 |         67 |         32 |         24 |        123 |
| src\algorithms\graph\bridges\__test__                                                                                                                    |          1 |        167 |          0 |         37 |        204 |
| src\algorithms\graph\depth-first-search                                                                                                                  |          3 |        183 |         28 |         41 |        252 |
| src\algorithms\graph\depth-first-search (Files)                                                                                                          |          2 |         45 |         26 |         15 |         86 |
| src\algorithms\graph\depth-first-search\__test__                                                                                                         |          1 |        138 |          2 |         26 |        166 |
| src\algorithms\graph\detect-cycle                                                                                                                        |          7 |        239 |         57 |         73 |        369 |
| src\algorithms\graph\detect-cycle (Files)                                                                                                                |          4 |        138 |         57 |         52 |        247 |
| src\algorithms\graph\detect-cycle\__test__                                                                                                               |          3 |        101 |          0 |         21 |        122 |
| src\algorithms\graph\dijkstra                                                                                                                            |         12 |      1,125 |         28 |        598 |      1,751 |
| src\algorithms\graph\dijkstra (Files)                                                                                                                    |         11 |      1,020 |         28 |        585 |      1,633 |
| src\algorithms\graph\dijkstra\__test__                                                                                                                   |          1 |        105 |          0 |         13 |        118 |
| src\algorithms\graph\eulerian-path                                                                                                                       |          3 |        195 |         32 |         51 |        278 |
| src\algorithms\graph\eulerian-path (Files)                                                                                                               |          2 |         78 |         32 |         28 |        138 |
| src\algorithms\graph\eulerian-path\__test__                                                                                                              |          1 |        117 |          0 |         23 |        140 |
| src\algorithms\graph\floyd-warshall                                                                                                                      |          3 |        285 |         35 |         69 |        389 |
| src\algorithms\graph\floyd-warshall (Files)                                                                                                              |          2 |        102 |         29 |         37 |        168 |
| src\algorithms\graph\floyd-warshall\__test__                                                                                                             |          1 |        183 |          6 |         32 |        221 |
| src\algorithms\graph\hamiltonian-cycle                                                                                                                   |          3 |        177 |         50 |         48 |        275 |
| src\algorithms\graph\hamiltonian-cycle (Files)                                                                                                           |          2 |        101 |         50 |         33 |        184 |
| src\algorithms\graph\hamiltonian-cycle\__test__                                                                                                          |          1 |         76 |          0 |         15 |         91 |
| src\algorithms\graph\kruskal                                                                                                                             |          4 |        161 |         21 |         56 |        238 |
| src\algorithms\graph\kruskal (Files)                                                                                                                     |          3 |         87 |         21 |         38 |        146 |
| src\algorithms\graph\kruskal\__test__                                                                                                                    |          1 |         74 |          0 |         18 |         92 |
| src\algorithms\graph\prim                                                                                                                                |          3 |        146 |         23 |         45 |        214 |
| src\algorithms\graph\prim (Files)                                                                                                                        |          2 |         72 |         23 |         27 |        122 |
| src\algorithms\graph\prim\__test__                                                                                                                       |          1 |         74 |          0 |         18 |         92 |
| src\algorithms\graph\strongly-connected-components                                                                                                       |          3 |        156 |         51 |         47 |        254 |
| src\algorithms\graph\strongly-connected-components (Files)                                                                                               |          2 |         72 |         51 |         28 |        151 |
| src\algorithms\graph\strongly-connected-components\__test__                                                                                              |          1 |         84 |          0 |         19 |        103 |
| src\algorithms\graph\topological-sorting                                                                                                                 |          3 |        116 |         11 |         31 |        158 |
| src\algorithms\graph\topological-sorting (Files)                                                                                                         |          2 |         69 |         11 |         24 |        104 |
| src\algorithms\graph\topological-sorting\__test__                                                                                                        |          1 |         47 |          0 |          7 |         54 |
| src\algorithms\graph\travelling-salesman                                                                                                                 |          3 |        117 |         32 |         35 |        184 |
